ticker;current_value;closing_value;opening_value;variation;highest_value;lowest_value;daily_volume;market_value;paper_in_circulation
DASA3;27;27;null;0;null;null;0;8422005996;311926148
STBP3;3.56;3.53;3.55;0.85;3.56;3.36;1518600;2372091497;666317847
WIZS3;13.28;13.74;13.6;-3.35;13.69;12.82;1869700;2123568609;159907278
BRAP3;26.53;26.63;26.34;-0.38;27;26.3;11800;10191764268;384159970
COPH34;41.8;44.9;42;-6.9;42;41.8;200;null;null
MULT3;67.74;68.52;68.25;-1.14;68.89;66.85;1146800;12761891326;188395213
NSLU11;251;256.56;256.56;-2.17;256.56;251;93;null;null
SULA11;20;20.55;20.54;-2.68;20.69;19.78;1101900;7883079320;394153966
SCAR3;38.85;38.85;39.65;0;39.66;38.85;2500;2243094910;57737323
GOAU4;6.62;6.55;6.64;1.07;6.7;6.42;15293600;6234780576;941809771
CPFE3;22.08;22.32;22.33;-1.08;22.39;21.84;676600;22475560362;1017914875
DAGB33;474;470;463;0.85;490;460.6;213;null;null
MGLU3;73.89;76;76.5;-2.78;77.1;72.32;1606500;14082801903;190591447
ABEV3;21.49;21.66;21.58;-0.78;21.79;21.25;16938200;337771601399;15717617729
LMTB34;1135.78;1135.78;null;0;null;null;0;null;null
HGCR11;101.48;101.8;101.01;-0.31;101.49;100;1123;null;null
LCAM3;23.8;23.35;23;1.93;23.8;22.9;32900;1962765041;82469122
TIET3;2.32;2.41;2.41;-3.73;2.41;2.32;68300;4488576069;1934731120
JPMC34;180.92;181.06;180.62;-0.08;180.92;176.75;20700;null;null
FLMA11;2.6;2.6;2.61;0;2.61;2.59;2177;null;null
GGBR4;14.03;13.76;13.87;1.96;14.1;13.52;11270900;23155902781;1650456395
RNEW4;1.8;1.79;1.79;0.56;1.8;1.76;54500;811087420;450604134
SHOW3;8.3;8;7.93;3.75;8.3;7.8;535900;560255507;67500662
